type,year,title,agency,amount_usd,role,description
international_grant,2020,"Research and Development of Novel IPM Technologies for Welsh Onion Disease Control (110AS-1.3.2-ST-aL)","Ministry of Agriculture, Taiwan",28333,"Co-Author & Lead Investigator","Developed pesticide-reduction protocols; field trials achieved 80-90% reduction in chemical usage"
international_grant,2019,"Development of IPM Techniques for Disease Control and Pesticide Reduction on Welsh Onion in Yilan Sanxing (109AS-1.15-ST-a8)","Ministry of Agriculture, Taiwan",20000,"Co-Author & Lead Investigator","Co-wrote grant proposal; led regional disease monitoring system implementation"
scholarship,2022,"Government Scholarship to Study Abroad","Ministry of Education, Taiwan",32000,"Recipient","Awarded for academic excellence; 2-year support ($16,000/year)"
fellowship,2022,"Grinter Graduate School Fellowship","University of Florida",1000,"Recipient","Competitive fellowship; $1,000/year (2022–2023)"
travel_award,2025,"APS Foundation Student Travel Award","American Phytopathological Society",569,"Recipient","APS Plant Health Annual Meeting, Hawaii 2025"
travel_award,2025,"Graduate Student Council Travel Grant","University of Florida Student Government",400,"Recipient","UF graduate student travel support"
travel_award,2023,"Student Travel Award","UF Plant Pathology Graduate Student Organization",500,"Recipient","Departmental travel award"
scholarship,2020,"Dr. Huann-Ju Hsieh's Memorial Scholarship","National Taiwan University",10000,"Recipient","Academic merit scholarship"
award,2020,"Merit Award of Student Presentation Competition","Mycological Society of Taiwan — 2020 Annual Meeting",1000,"Recipient","Student oral presentation award"
award,2019,"Golden Award of Team Competition","Biological and Science Technology Cup Match 2019 — TCI Academy",10000,"Recipient","Team competition first place"
scholarship,2019,"The Endeavor Scholarship","National Taiwan University",10000,"Recipient","Academic merit scholarship"
